start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,batch,service_tier,compute_units,input_tokens,output_tokens,input_cached_tokens,input_cache_write_tokens,input_uncached_tokens,input_text_tokens,output_text_tokens,input_cached_text_tokens,input_audio_tokens,input_cached_audio_tokens,output_audio_tokens,input_image_tokens,input_cached_image_tokens,output_image_tokens
1785542400,1785628800,2026-08-01T00:00:00+00:00,2026-08-02T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,
1785628800,1785715200,2026-08-02T00:00:00+00:00,2026-08-03T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,
1785715200,1785801600,2026-08-03T00:00:00+00:00,2026-08-04T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,
1785801600,1785888000,2026-08-04T00:00:00+00:00,2026-08-05T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,
1785888000,1785974400,2026-08-05T00:00:00+00:00,2026-08-06T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,
1785974400,1786060800,2026-08-06T00:00:00+00:00,2026-08-07T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,
1786060800,1786147200,2026-08-07T00:00:00+00:00,2026-08-08T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,
1786147200,1786233600,2026-08-08T00:00:00+00:00,2026-08-09T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,
1786233600,1786320000,2026-08-09T00:00:00+00:00,2026-08-10T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,
1786320000,1786406400,2026-08-10T00:00:00+00:00,2026-08-11T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,
1786406400,1786492800,2026-08-11T00:00:00+00:00,2026-08-12T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,
1786492800,1786579200,2026-08-12T00:00:00+00:00,2026-08-13T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,
1786579200,1786665600,2026-08-13T00:00:00+00:00,2026-08-14T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,
1786665600,1786752000,2026-08-14T00:00:00+00:00,2026-08-15T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,
1786752000,1786838400,2026-08-15T00:00:00+00:00,2026-08-16T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,
1786838400,1786924800,2026-08-16T00:00:00+00:00,2026-08-17T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,
1786924800,1787011200,2026-08-17T00:00:00+00:00,2026-08-18T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,
1787011200,1787097600,2026-08-18T00:00:00+00:00,2026-08-19T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,
1787097600,1787184000,2026-08-19T00:00:00+00:00,2026-08-20T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,
1787184000,1787270400,2026-08-20T00:00:00+00:00,2026-08-21T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,
1787270400,1787356800,2026-08-21T00:00:00+00:00,2026-08-22T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,
1787356800,1787443200,2026-08-22T00:00:00+00:00,2026-08-23T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,
1787443200,1787529600,2026-08-23T00:00:00+00:00,2026-08-24T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,
1787529600,1787616000,2026-08-24T00:00:00+00:00,2026-08-25T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,
1787616000,1787702400,2026-08-25T00:00:00+00:00,2026-08-26T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,
1787702400,1787788800,2026-08-26T00:00:00+00:00,2026-08-27T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,
1787788800,1787875200,2026-08-27T00:00:00+00:00,2026-08-28T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,
1787875200,1787961600,2026-08-28T00:00:00+00:00,2026-08-29T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,
1787961600,1788048000,2026-08-29T00:00:00+00:00,2026-08-30T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,
1788048000,1788134400,2026-08-30T00:00:00+00:00,2026-08-31T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,
1788134400,1788220800,2026-08-31T00:00:00+00:00,2026-09-01T00:00:00+00:00,proj_,4.0,user-_,key_,gpt-4o-mini-2024-07-18,False,default,,31422.0,29.0,0.0,0.0,31422.0,31422.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
